PR,MAC,IRI
4.52,1.33,5.47
3.895,1.14,3.94
5.843333333,1.066666667,3.22
5.845,1.0275,3.09
6.872,0.98,2.712
6.948333333,0.956666667,2.56
7.96,0.938571429,2.511428571
7.5525,0.91625,2.345
7.224444444,0.898888889,2.241111111
7.298888889,0.838888889,1.797777778
8.041111111,0.832222222,1.876666667
7.693333333,0.834444444,1.897777778
7.844444444,0.835555556,1.77
7.45,0.852222222,1.808888889
7.424444444,0.856666667,1.726666667
6.385555556,0.864444444,1.667777778
7.804444444,0.896666667,1.741111111
7.781111111,0.908888889,1.731111111
8.25,0.913333333,1.792222222
8.092222222,0.912222222,1.685555556
8.613333333,0.92,1.85
8.297777778,0.908888889,1.85
8.116666667,0.908888889,1.885555556
9.773333333,0.928888889,2.16
9.785555556,0.928888889,2.123333333
8.265555556,0.912222222,2.065555556
8.162222222,0.92,2.1
7.66,0.925555556,2.191111111
7.344444444,0.926666667,2.186666667
6.82,0.926666667,2.081111111
7.115555556,0.931111111,2.102222222
7.483333333,0.932222222,2.116666667
6.776666667,0.963333333,1.977777778
7.001111111,0.966666667,2.035555556
7.367777778,0.96,2.046666667
7.828888889,0.964444444,2.093333333
7.992222222,0.965555556,1.904444444
7.835555556,0.973333333,1.947777778
7.973333333,0.96,1.79
8.937777778,0.992222222,2
8.39,0.994444444,2.084444444
7.016666667,0.947777778,2.052222222
6.864444444,0.954444444,2.048888889
6.536666667,0.971111111,2.145555556
6.506666667,0.983333333,2.113333333
6.602222222,1.014444444,2.323333333
6.894444444,1.081111111,2.292222222
8.731111111,1.244444444,2.422222222
7.55,1.23,2.332222222
8.22,1.235555556,2.427777778
8.917777778,1.254444444,3.246666667
9.097777778,1.246666667,3.293333333
9.167777778,1.237777778,3.472222222
9.12,1.206666667,3.494444444
8.94,1.162222222,3.681111111
8.735555556,1.071111111,3.636666667
6.736666667,0.888888889,3.663333333
7.308888889,0.862222222,3.633333333
7.742222222,0.834444444,3.59
8.25,0.788888889,2.915555556
8.228888889,0.758888889,2.896666667
8.131111111,0.736666667,2.653333333
8.108888889,0.73,2.62
8.538888889,0.723333333,2.391111111
8.994444444,0.735555556,2.491111111
9.084444444,0.736666667,2.534444444
8.734444444,0.726666667,2.5
8.135555556,0.721111111,2.432222222
7.394444444,0.713333333,2.451111111
7.894444444,0.726666667,2.943333333
8.27,0.738888889,3.123333333
8.614444444,0.745555556,3.502222222
8.867777778,0.772222222,3.56
8.264444444,0.791111111,3.876666667
8.933333333,0.81,3.843333333
8.662222222,0.832222222,3.775555556
8.297777778,0.846666667,4.003333333
7.947777778,0.877777778,3.822222222
7.577777778,0.883333333,3.745555556
7.417777778,0.884444444,3.951111111
6.721111111,0.891111111,3.701111111
6.572222222,0.878888889,3.693333333
6.946666667,0.86,3.267777778
6.12,0.853333333,3.247777778
6.258888889,0.852222222,3.255555556
6.024444444,0.847777778,2.888888889
6.112222222,0.836666667,2.954444444
5.794444444,0.835555556,2.538888889
5.854444444,0.832222222,2.118888889
6.136666667,0.821111111,1.95
5.555555556,0.82,1.766666667
5.457777778,0.813333333,1.762222222
5.346666667,0.805555556,1.715555556
5.114444444,0.787777778,1.661111111
5.301111111,0.781111111,1.748888889
5.435555556,0.778888889,1.648888889
5.645555556,0.785555556,1.516666667
5.872222222,0.781111111,1.714444444
5.773333333,0.795555556,2.157777778
5.647777778,0.8,2.271111111
6.027777778,0.801111111,2.38
6.198888889,0.793333333,2.366666667
6.454444444,0.787777778,2.432222222
6.447777778,0.773333333,2.326666667
6.825555556,0.765555556,2.383333333
8.437777778,0.748888889,2.473333333
8.117777778,0.741111111,2.367777778
8.44,0.714444444,1.996666667
8.53,0.692222222,1.912222222
8.158888889,0.68,1.847777778
8.108888889,0.682222222,1.841111111
8.131111111,0.688888889,1.85
8.165555556,0.698888889,1.906666667
7.753333333,0.696666667,1.837777778
5.764444444,0.693333333,1.815555556
5.968888889,0.701111111,1.764444444
5.71,0.727777778,1.761111111
5.757777778,0.75,1.653333333
6.242222222,0.941111111,1.71
7.447777778,0.992222222,2.558888889
7.304444444,1.102222222,2.523333333
7.27,1.244444444,2.63
7.853333333,1.383333333,2.754444444
8.146666667,1.507777778,2.891111111
8.263333333,1.586666667,3.05
8.736666667,1.69,3.053333333
8.726666667,1.786666667,3.152222222
8.016666667,1.693333333,3.045555556
6.748888889,1.743333333,2.196666667
6.547777778,1.716666667,2.277777778
6.476666667,1.646666667,2.183333333
5.577777778,1.587777778,2.123333333
5.467777778,1.503333333,2.16
4.868888889,1.467777778,2.044444444
4.14,1.39,2.338888889
3.956666667,1.315555556,2.443333333
4.21,1.251111111,2.566666667
4.161111111,1.172222222,2.66
4.512222222,1.113333333,3.406666667
4.701111111,1.087777778,3.876666667
5.011111111,1.061111111,4.345555556
5.337777778,1.061111111,4.493333333
5.942222222,1.057777778,4.764444444
6.132222222,1.055555556,4.726666667
6.278888889,1.058888889,5.047777778
6.035555556,1.061111111,5.313333333
7.332222222,1.065555556,5.566666667
7.143333333,1.077777778,4.946666667
7.242222222,1.073333333,4.771111111
7.451111111,1.064444444,4.784444444
7.387777778,1.081111111,4.758888889
7.291111111,1.082222222,4.826666667
7.735555556,1.084444444,5.107777778
7.934444444,1.07,5.193333333
7.938888889,1.078888889,4.926666667
7.201111111,1.15,4.858888889
8.58,1.255555556,4.892222222
9.92,1.363333333,4.651111111
9.574444444,1.478888889,4.262222222
10.02333333,1.572222222,4.027777778
9.482222222,1.658888889,3.716666667
9.446666667,1.713333333,3.735555556
9.241111111,1.745555556,3.331111111
9.247777778,1.764444444,3.246666667
8.778888889,1.71,2.94
7.307777778,1.615555556,2.812222222
5.576666667,1.526666667,2.834444444
5.252222222,1.427777778,2.662222222
4.382222222,1.326666667,2.653333333
4.436666667,1.226666667,2.762222222
4.196666667,1.185555556,2.308888889
4.196666667,1.188888889,2.261111111
4.266666667,1.201111111,2.22
3.905555556,1.232222222,2.205555556
3.721111111,1.247777778,2.082222222
3.737777778,1.241111111,1.998888889
3.738888889,1.232222222,2.008888889
3.666666667,1.244444444,2.014444444
3.711111111,1.331111111,1.836666667
3.365555556,1.391111111,1.655555556
3.315555556,1.412222222,2.3
3.05,1.481111111,2.387777778
3.355555556,1.515555556,2.69
3.51,1.542222222,2.698888889
4.856666667,1.594444444,3.434444444
5.354444444,1.638888889,3.408888889
6.312222222,1.675555556,3.46
6.856666667,1.652222222,4.02
7.11,1.637777778,4.451111111
7.192222222,1.662222222,3.813333333
7.208888889,1.604444444,3.795555556
7.064444444,1.577777778,4.066666667
6.902222222,1.571111111,5.032222222
5.498888889,1.551111111,4.773333333
5.903333333,1.551111111,5.862222222
5.757777778,1.548888889,5.792222222
6.051111111,1.516666667,5.356666667
6.846666667,1.458888889,4.953333333
8.156666667,1.396666667,4.857777778
8.951111111,1.342222222,4.804444444
8.823333333,1.276666667,4.15
9.484444444,1.214444444,3.202222222
9.587777778,1.188888889,2.693333333
9.118888889,1.15,1.817777778
8.221111111,1.092222222,1.77
7.606666667,1.067777778,1.832222222
7.406666667,1.062222222,1.907777778
7.37,1.056666667,1.943333333
7.035555556,1.067777778,1.923333333
7.247777778,1.081111111,2.111111111
6.873333333,1.093333333,2.045555556
7.077777778,1.07,2.036666667
6.98,1.057777778,1.937777778
7.027777778,1.057777778,1.991111111
6.775555556,1.051111111,1.747777778
5.915555556,1.045555556,1.661111111
4.315555556,1.045555556,1.713333333
4.052222222,1.043333333,1.655555556
3.935555556,1.052222222,1.533333333
3.707777778,1.068888889,1.621111111
3.601111111,1.081111111,1.59
3.454444444,1.088888889,1.544444444
3.622222222,1.116666667,1.457777778
3.722222222,1.164444444,1.442222222
6.002222222,1.242222222,1.556666667
