Fecha,Último,Apertura,Máximo,Mínimo
15.05.1997,1.96,2.44,2.5,1.93
16.05.1997,1.73,1.97,1.98,1.71
19.05.1997,1.71,1.76,1.77,1.62
20.05.1997,1.64,1.73,1.75,1.64
21.05.1997,1.43,1.64,1.65,1.37
22.05.1997,1.4,1.44,1.45,1.31
23.05.1997,1.5,1.41,1.52,1.33
27.05.1997,1.58,1.51,1.65,1.46
28.05.1997,1.53,1.62,1.64,1.53
29.05.1997,1.51,1.54,1.54,1.48
30.05.1997,1.5,1.5,1.51,1.48
02.06.1997,1.51,1.51,1.53,1.5
03.06.1997,1.48,1.53,1.53,1.48
04.06.1997,1.42,1.48,1.49,1.4
05.06.1997,1.54,1.42,1.54,1.37
06.06.1997,1.66,1.52,1.71,1.51
09.06.1997,1.69,1.66,1.71,1.66
10.06.1997,1.58,1.71,1.71,1.53
11.06.1997,1.54,1.59,1.6,1.53
12.06.1997,1.6,1.58,1.65,1.55
13.06.1997,1.58,1.62,1.62,1.58
16.06.1997,1.57,1.6,1.6,1.56
17.06.1997,1.51,1.6,1.6,1.49
18.06.1997,1.51,1.52,1.54,1.5
19.06.1997,1.51,1.51,1.53,1.5
20.06.1997,1.53,1.53,1.55,1.5
23.06.1997,1.5,1.54,1.54,1.48
24.06.1997,1.51,1.51,1.53,1.48
25.06.1997,1.51,1.53,1.53,1.49
26.06.1997,1.51,1.52,1.52,1.51
27.06.1997,1.49,1.52,1.52,1.48
30.06.1997,1.54,1.51,1.6,1.48
01.07.1997,1.52,1.54,1.54,1.51
02.07.1997,1.59,1.52,1.59,1.51
03.07.1997,1.91,1.6,1.92,1.59
07.07.1997,2,1.83,2.02,1.83
08.07.1997,2.3,2.04,2.33,2.04
09.07.1997,2.32,2.3,2.39,2.27
10.07.1997,2.56,2.33,2.57,2.33
11.07.1997,2.29,2.52,2.52,2.21
14.07.1997,2.14,2.32,2.33,2.11
15.07.1997,2.44,2.14,2.48,2.14
16.07.1997,2.33,2.45,2.49,2.3
17.07.1997,2.22,2.34,2.34,2.16
18.07.1997,2.16,2.19,2.22,2.16
21.07.1997,2.18,2.18,2.2,2.15
22.07.1997,2.14,2.17,2.19,2.06
23.07.1997,2.29,2.19,2.33,2.18
24.07.1997,2.26,2.3,2.31,2.22
25.07.1997,2.23,2.22,2.25,2.22
28.07.1997,2.32,2.23,2.4,2.22
29.07.1997,2.48,2.36,2.5,2.33
30.07.1997,2.45,2.5,2.51,2.43
31.07.1997,2.4,2.44,2.44,2.33
01.08.1997,2.42,2.34,2.42,2.25
04.08.1997,2.31,2.37,2.41,2.3
05.08.1997,2.21,2.33,2.33,2.15
06.08.1997,2.25,2.21,2.31,2.19
07.08.1997,2.18,2.25,2.26,2.12
08.08.1997,2.29,2.17,2.3,2.1
11.08.1997,2.33,2.29,2.33,2.25
12.08.1997,2.2,2.28,2.3,2.2
13.08.1997,2.2,2.23,2.23,2.17
14.08.1997,2.16,2.18,2.25,2.12
15.08.1997,2.11,2.14,2.16,1.94
18.08.1997,2.04,2.05,2.05,1.97
19.08.1997,2.17,2.09,2.21,2.05
20.08.1997,2.17,2.19,2.19,2.07
21.08.1997,2.11,2.14,2.17,2.07
22.08.1997,2.12,2.1,2.12,2.09
25.08.1997,2.22,2.1,2.26,2.1
26.08.1997,2.34,2.24,2.35,2.23
27.08.1997,2.32,2.31,2.32,2.25
28.08.1997,2.37,2.3,2.4,2.28
29.08.1997,2.34,2.36,2.37,2.32
02.09.1997,2.35,2.34,2.37,2.33
03.09.1997,2.33,2.34,2.42,2.31
04.09.1997,2.55,2.36,2.55,2.34
05.09.1997,2.5,2.58,2.67,2.46
08.09.1997,3,2.53,3.02,2.5
09.09.1997,3.24,3.14,3.39,3.03
10.09.1997,3.3,3.31,3.33,3.12
11.09.1997,3.16,3.33,3.33,3.04
12.09.1997,3.69,3.19,3.7,3.16
15.09.1997,3.09,3.67,3.68,3.05
16.09.1997,3.35,3.12,3.54,3.12
17.09.1997,3.41,3.46,3.5,3.33
18.09.1997,3.29,3.44,3.47,3.28
19.09.1997,3.95,3.38,4.08,3.37
22.09.1997,4.5,4,4.68,3.95
23.09.1997,4.62,4.49,4.65,4.4
24.09.1997,4.37,4.65,4.81,4.29
25.09.1997,4.08,4.34,4.35,4.05
26.09.1997,4.17,4.07,4.26,4.05
29.09.1997,4.04,4.15,4.19,3.96
30.09.1997,4.34,4,4.35,3.8
01.10.1997,4.02,4.44,4.5,3.94
02.10.1997,4.01,4.04,4.18,3.99
03.10.1997,4.02,4.08,4.12,3.98
06.10.1997,4.12,4,4.12,3.94
07.10.1997,4.06,4.08,4.19,4.04
08.10.1997,4.01,4.15,4.17,3.98
09.10.1997,3.75,4,4.02,3.74
10.10.1997,3.9,3.73,4.06,3.67
13.10.1997,4,3.93,4.04,3.93
14.10.1997,3.98,4.06,4.1,3.83
15.10.1997,3.92,3.97,3.97,3.77
16.10.1997,3.62,3.98,3.98,3.6
17.10.1997,3.62,3.61,3.66,3.52
