"Fecha","Cierre"
"01.01.2015",314
"02.01.2015",315
"03.01.2015",282
"04.01.2015",259
"05.01.2015",273
"06.01.2015",285
"07.01.2015",297
"08.01.2015",286
"09.01.2015",293
"10.01.2015",275
"11.01.2015",266
"12.01.2015",268
"13.01.2015",230
"14.01.2015",183
"15.01.2015",218
"16.01.2015",207
"17.01.2015",201
"18.01.2015",210
"19.01.2015",213
"20.01.2015",218
"21.01.2015",226
"22.01.2015",226
"23.01.2015",235
"24.01.2015",240
"25.01.2015",255
"26.01.2015",275
"27.01.2015",264
"28.01.2015",236
"29.01.2015",235
"30.01.2015",229
"31.01.2015",218
"01.02.2015",229
"02.02.2015",238
"03.02.2015",229
"04.02.2015",227
"05.02.2015",217
"06.02.2015",223
"07.02.2015",229
"08.02.2015",224
"09.02.2015",221
"10.02.2015",221
"11.02.2015",220
"12.02.2015",222
"13.02.2015",236
"14.02.2015",257
"15.02.2015",236
"16.02.2015",234
"17.02.2015",244
"18.02.2015",236
"19.02.2015",240
"20.02.2015",245
"21.02.2015",246
"22.02.2015",237
"23.02.2015",239
"24.02.2015",240
"25.02.2015",238
"26.02.2015",237
"27.02.2015",255
"28.02.2015",256
"01.03.2015",262
"02.03.2015",277
"03.03.2015",284
"04.03.2015",273
"05.03.2015",278
"06.03.2015",273
"07.03.2015",277
"08.03.2015",276
"09.03.2015",291
"10.03.2015",293
"11.03.2015",297
"12.03.2015",296
"13.03.2015",283
"14.03.2015",283
"15.03.2015",287
"16.03.2015",291
"17.03.2015",285
"18.03.2015",257
"19.03.2015",262
"20.03.2015",262
"21.03.2015",261
"22.03.2015",269
"23.03.2015",267
"24.03.2015",246
"25.03.2015",246
"26.03.2015",249
"27.03.2015",247
"28.03.2015",253
"29.03.2015",242
"30.03.2015",248
"31.03.2015",244
"01.04.2015",247
"02.04.2015",253
"03.04.2015",254
"04.04.2015",254
"05.04.2015",261
"06.04.2015",256
"07.04.2015",254
"08.04.2015",245
"09.04.2015",244
"10.04.2015",236
"11.04.2015",237
"12.04.2015",236
"13.04.2015",225
"14.04.2015",220
"15.04.2015",224
"16.04.2015",229
"17.04.2015",222
"18.04.2015",223
"19.04.2015",222
"20.04.2015",224
"21.04.2015",236
"22.04.2015",234
"23.04.2015",236
"24.04.2015",231
"25.04.2015",226
"26.04.2015",220
"27.04.2015",228
"28.04.2015",225
"29.04.2015",225
"30.04.2015",236
"01.05.2015",232
"02.05.2015",235
"03.05.2015",241
"04.05.2015",239
"05.05.2015",236
"06.05.2015",229
"07.05.2015",237
"08.05.2015",245
"09.05.2015",243
"10.05.2015",241
"11.05.2015",243
"12.05.2015",242
"13.05.2015",236
"14.05.2015",237
"15.05.2015",237
"16.05.2015",236
"17.05.2015",236
"18.05.2015",233
"19.05.2015",232
"20.05.2015",234
"21.05.2015",235
"22.05.2015",241
"23.05.2015",239
"24.05.2015",241
"25.05.2015",237
"26.05.2015",237
"27.05.2015",237
"28.05.2015",237
"29.05.2015",237
"30.05.2015",233
"31.05.2015",229
"01.06.2015",222
"02.06.2015",225
"03.06.2015",225
"04.06.2015",223
"05.06.2015",225
"06.06.2015",226
"07.06.2015",223
"08.06.2015",229
"09.06.2015",229
"10.06.2015",229
"11.06.2015",230
"12.06.2015",229
"13.06.2015",233
"14.06.2015",234
"15.06.2015",237
"16.06.2015",252
"17.06.2015",249
"18.06.2015",250
"19.06.2015",245
"20.06.2015",245
"21.06.2015",244
"22.06.2015",247
"23.06.2015",244
"24.06.2015",240
"25.06.2015",242
"26.06.2015",243
"27.06.2015",252
"28.06.2015",249
"29.06.2015",257
"30.06.2015",263
"01.07.2015",258
"02.07.2015",255
"03.07.2015",256
"04.07.2015",261
"05.07.2015",265
"06.07.2015",275
"07.07.2015",266
"08.07.2015",271
"09.07.2015",269
"10.07.2015",287
"12.07.2015",311
"13.07.2015",293
"14.07.2015",287
"15.07.2015",285
"16.07.2015",279
"17.07.2015",280
"18.07.2015",277
"19.07.2015",275
"20.07.2015",280
"21.07.2015",276
"22.07.2015",278
"23.07.2015",277
"24.07.2015",289
"25.07.2015",289
"26.07.2015",293
"27.07.2015",295
"28.07.2015",295
"29.07.2015",290
"30.07.2015",288
"31.07.2015",285
"01.08.2015",280
"02.08.2015",283
"03.08.2015",281
"04.08.2015",286
"05.08.2015",283
"06.08.2015",279
"07.08.2015",280
"08.08.2015",261
