dia,hora,dir,vel,vel_inte_80m(nudos)
07/01/2003,18:15,238,6,8.97
07/01/2003,18:30,239,6.7,10.02
07/01/2003,18:45,237,6.4,9.57
07/01/2003,19:00,237,7.2,10.77
07/01/2003,19:15,240,6.6,9.87
07/01/2003,19:30,253,7.6,11.36
07/01/2003,19:45,242,6.5,9.72
07/01/2003,20:00,242,7.4,11.06
07/01/2003,20:15,246,8.1,12.11
07/01/2003,20:30,239,7.2,10.77
07/01/2003,20:45,234,7.1,10.62
07/01/2003,21:00,238,6.3,9.42
07/03/2003,12:15,29,3.5,5.23
07/03/2003,12:30,23,3.1,4.63
07/03/2003,12:45,350,4.2,6.28
07/03/2003,13:00,354,3.5,5.23
07/03/2003,13:15,327,4.7,7.03
07/03/2003,13:30,13,6,8.97
07/03/2003,13:45,359,5,7.48
07/03/2003,14:00,8,4.7,7.03
07/03/2003,14:15,351,4.5,6.73
07/03/2003,14:30,345,2.6,3.89
07/03/2003,14:45,5,3,4.49
07/03/2003,15:00,4,3.1,4.63
07/03/2003,15:15,344,3.1,4.63
07/03/2003,15:30,343,3.1,4.63
07/03/2003,15:45,271,2.4,3.59
07/03/2003,16:00,271,3.1,4.63
07/03/2003,16:15,263,3.9,5.83
07/03/2003,16:30,268,4.9,7.33
07/03/2003,16:45,249,4.4,6.58
07/03/2003,17:00,250,5.3,7.92
07/03/2003,17:15,259,6.2,9.27
07/03/2003,17:30,256,6.3,9.42
07/03/2003,17:45,248,5.2,7.77
07/03/2003,18:00,244,5.3,7.92
07/03/2003,18:15,250,6,8.97
07/03/2003,18:30,248,6.7,10.02
07/03/2003,18:45,250,8.3,12.41
07/03/2003,19:00,247,8.4,12.56
07/03/2003,19:15,247,8.2,12.26
07/03/2003,19:30,236,8.9,13.31
07/03/2003,19:45,234,7.9,11.81
07/03/2003,20:00,234,9.1,13.61
07/03/2003,20:15,245,8.1,12.11
07/03/2003,20:30,248,7.5,11.21
07/03/2003,20:45,254,8,11.96
07/03/2003,21:00,255,8.4,12.56
07/03/2003,21:15,247,8.3,12.41
07/03/2003,21:30,244,8,11.96
07/03/2003,21:45,235,8.4,12.56
07/03/2003,22:00,243,7.2,10.77
07/03/2003,22:15,249,6.6,9.87
07/03/2003,22:30,248,5.7,8.52
07/03/2003,22:45,248,6.6,9.87
07/03/2003,23:00,180,7,10.47
07/03/2003,23:15,24,7.3,10.91
07/03/2003,23:30,20,7,10.47
07/03/2003,23:45,23,7.2,10.77
07/04/2003,00:00,18,6.1,9.12
07/04/2003,12:15,30,4.8,7.18
07/04/2003,12:30,10,4,5.98
07/04/2003,12:45,14,3,4.49
07/04/2003,13:00,24,2.8,4.19
07/04/2003,13:15,29,3.7,5.53
07/04/2003,13:30,8,4.1,6.13
07/04/2003,13:45,2,3.5,5.23
07/04/2003,14:00,353,4.1,6.13
07/04/2003,14:15,354,4.5,6.73
07/04/2003,14:30,345,3.7,5.53
07/04/2003,14:45,169,2.3,3.44
07/04/2003,15:00,210,2.3,3.44
07/04/2003,18:15,161,6,8.97
07/04/2003,18:30,168,5.9,8.82
07/04/2003,18:45,165,5.5,8.22
07/04/2003,19:00,154,6.9,10.32
07/04/2003,19:15,181,6.7,10.02
07/04/2003,19:30,153,6,8.97
07/04/2003,19:45,135,6.8,10.17
07/04/2003,20:00,125,7,10.47
07/04/2003,20:15,120,6.4,9.57
07/04/2003,20:30,124,5.5,8.22
07/04/2003,20:45,120,5.7,8.52
07/04/2003,21:00,117,6.6,9.87
07/05/2003,12:15,11,4.3,6.43
07/05/2003,12:30,15,3.9,5.83
07/05/2003,12:45,17,4.2,6.28
07/05/2003,13:00,12,5.5,8.22
07/05/2003,13:15,35,6.7,10.02
07/05/2003,13:30,29,5,7.48
07/05/2003,13:45,21,4.5,6.73
07/05/2003,14:00,26,3.5,5.23
07/05/2003,14:15,27,4.4,6.58
07/05/2003,14:30,17,5,7.48
07/05/2003,14:45,28,3.9,5.83
07/05/2003,15:00,30,2.3,3.44
07/05/2003,15:15,27,3.4,5.08
07/05/2003,15:30,353,3.6,5.38
07/05/2003,15:45,270,3.1,4.63
07/05/2003,16:00,217,3.8,5.68
07/05/2003,16:15,233,4.6,6.88
07/05/2003,16:30,229,5.3,7.92
07/05/2003,16:45,245,5.3,7.92
07/05/2003,17:00,252,6.9,10.32
07/05/2003,17:15,247,8.3,12.41
07/05/2003,17:30,255,7.4,11.06
07/05/2003,17:45,250,6.5,9.72
07/05/2003,18:00,251,7.9,11.81
07/05/2003,18:15,246,8.4,12.56
07/05/2003,18:30,239,8.7,13.01
07/05/2003,18:45,238,8.1,12.11
07/05/2003,19:00,238,6.7,10.02
07/05/2003,19:15,239,8.6,12.86
07/05/2003,19:30,239,8.1,12.11
07/05/2003,19:45,238,9,13.46
07/05/2003,20:00,251,9.6,14.35
07/05/2003,20:15,255,9.1,13.61
07/05/2003,20:30,243,9.7,14.5
07/05/2003,20:45,247,8,11.96
07/05/2003,21:00,245,8.3,12.41
07/05/2003,21:15,252,7.9,11.81
07/05/2003,21:30,248,7.5,11.21
07/05/2003,21:45,244,6.8,10.17
07/05/2003,22:00,246,7.6,11.36
07/05/2003,22:15,251,7.6,11.36
07/05/2003,22:30,247,7.6,11.36
07/05/2003,22:45,253,6.8,10.17
07/05/2003,23:00,246,6.8,10.17
07/05/2003,23:15,239,7.6,11.36
07/05/2003,23:30,236,7.2,10.77
07/05/2003,23:45,252,7,10.47
07/06/2003,00:00,248,6.5,9.72
07/06/2003,00:15,247,6.4,9.57
07/06/2003,00:30,244,6.5,9.72
07/06/2003,00:45,236,6.3,9.42
07/06/2003,01:00,228,6.1,9.12
07/06/2003,01:15,260,7.3,10.91
07/06/2003,01:30,248,6.5,9.72
07/06/2003,01:45,250,6,8.97
07/06/2003,02:00,263,5.1,7.63
07/06/2003,02:15,284,5.1,7.63
07/06/2003,02:30,336,5.9,8.82
07/06/2003,02:45,5,4.2,6.28
07/06/2003,03:00,12,5.2,7.77
07/06/2003,03:15,25,4.3,6.43
07/06/2003,03:30,5,5,7.48
