dia,hora,dir,vel(km/h),vel_inte_80m(km/h)
1/19/07,14:00,94,3.7,5.67
1/19/07,15:00,92,5.5,8.42
1/19/07,16:00,86,6,9.19
1/19/07,17:00,87,6.6,10.11
1/19/07,18:00,175,4.8,7.35
1/19/07,19:00,264,6.7,10.26
1/19/07,20:00,280,6.8,10.41
1/19/07,21:00,295,9.3,14.24
1/19/07,22:00,284,8.7,13.32
1/19/07,23:00,277,14.4,22.05
20/01/2007,00:00,275,15.6,23.89
1/20/07,01:00,269,14,21.44
1/20/07,02:00,258,8.9,13.63
1/20/07,03:00,255,5.3,8.12
1/20/07,04:00,259,4.5,6.89
1/20/07,05:00,242,6.2,9.5
1/20/07,06:00,196,7.1,10.87
1/20/07,07:00,197,10.3,15.77
1/20/07,08:00,219,9.7,14.86
1/20/07,09:00,147,2.4,3.68
1/20/07,10:00,103,4.3,6.59
1/20/07,11:00,97,4.7,7.2
1/20/07,12:00,118,5.1,7.81
1/20/07,13:00,96,4.4,6.74
1/20/07,14:00,87,4.5,6.89
1/20/07,15:00,255,2.5,3.83
1/20/07,16:00,250,3,4.59
1/20/07,17:00,256,4.2,6.43
1/20/07,18:00,278,6.6,10.11
1/20/07,19:00,288,9.4,14.4
1/20/07,20:00,231,5.9,9.04
1/20/07,21:00,249,17.4,26.65
1/20/07,22:00,232,21.3,32.62
1/20/07,23:00,242,19.4,29.71
21/01/2007,00:00,234,18.1,27.72
1/21/07,01:00,220,13.1,20.06
1/21/07,02:00,217,4.8,7.35
1/21/07,03:00,231,4.1,6.28
1/21/07,04:00,88,3.9,5.97
1/21/07,05:00,189,4.8,7.35
1/21/07,06:00,191,8.6,13.17
1/21/07,07:00,130,8.3,12.71
1/21/07,08:00,99,4.3,6.59
1/21/07,09:00,98,5.1,7.81
1/21/07,10:00,105,4.3,6.59
1/21/07,11:00,144,3.5,5.36
1/21/07,12:00,97,4.6,7.05
1/21/07,13:00,93,5.4,8.27
1/21/07,14:00,102,5.1,7.81
1/21/07,15:00,194,3.1,4.75
1/21/07,16:00,292,3.9,5.97
1/21/07,17:00,288,6,9.19
1/21/07,18:00,273,9,13.78
1/21/07,19:00,290,9.4,14.4
1/21/07,20:00,287,17.1,26.19
1/21/07,21:00,271,24.8,37.98
1/21/07,22:00,258,23.1,35.38
1/21/07,23:00,247,22.8,34.92
22/01/2007,00:00,255,16.2,24.81
1/22/07,01:00,234,7.6,11.64
1/22/07,02:00,191,3.2,4.9
1/22/07,03:00,260,7.4,11.33
1/22/07,04:00,194,2.9,4.44
1/22/07,05:00,177,2.5,3.83
1/22/07,06:00,213,2.7,4.14
1/22/07,07:00,259,2.3,3.52
1/22/07,08:00,252,1.8,2.76
1/22/07,09:00,255,2.7,4.14
1/22/07,10:00,231,1.9,2.91
1/22/07,11:00,248,2.6,3.98
1/22/07,12:00,96,4.4,6.74
1/22/07,13:00,140,2.9,4.44
1/22/07,14:00,242,1.5,2.3
1/22/07,15:00,140,1.7,2.6
1/22/07,16:00,90,6.2,9.5
1/22/07,17:00,263,6,9.19
1/22/07,18:00,280,7.7,11.79
1/22/07,19:00,294,9.1,13.94
1/22/07,20:00,257,15,22.97
1/22/07,21:00,282,13.6,20.83
1/22/07,22:00,287,13.7,20.98
1/22/07,23:00,293,9.4,14.4
23/01/2007,00:00,316,9.5,14.55
1/23/07,01:00,320,11.3,17.31
1/23/07,02:00,236,4.5,6.89
1/23/07,03:00,212,4.3,6.59
1/23/07,04:00,183,2.9,4.44
1/23/07,05:00,181,3.2,4.9
1/23/07,06:00,100,3.6,5.51
1/23/07,07:00,238,2.7,4.14
1/23/07,08:00,127,4.1,6.28
1/23/07,09:00,92,5.7,8.73
1/23/07,10:00,88,8.8,13.48
1/23/07,11:00,110,5.2,7.96
1/23/07,12:00,190,3.5,5.36
1/23/07,13:00,152,2.7,4.14
1/23/07,14:00,165,3.7,5.67
1/23/07,15:00,248,2.2,3.37
1/23/07,16:00,272,2.4,3.68
1/23/07,17:00,230,2.8,4.29
1/23/07,18:00,213,2.8,4.29
1/23/07,19:00,254,5.6,8.58
1/23/07,20:00,277,8.8,13.48
1/23/07,21:00,262,16.1,24.66
1/23/07,22:00,255,11.4,17.46
1/23/07,23:00,245,4.7,7.2
24/01/2007,00:00,249,7.9,12.1
1/24/07,01:00,238,5.6,8.58
1/24/07,02:00,216,2.7,4.14
1/24/07,03:00,211,6.1,9.34
1/24/07,04:00,185,2.7,4.14
1/24/07,05:00,159,5.3,8.12
1/24/07,06:00,104,4.6,7.05
1/24/07,07:00,139,4.9,7.5
1/24/07,08:00,242,5.4,8.27
1/24/07,09:00,248,3.4,5.21
1/24/07,10:00,115,2.7,4.14
1/24/07,11:00,129,2.8,4.29
1/24/07,12:00,241,7.8,11.95
1/24/07,13:00,279,12.9,19.76
1/24/07,14:00,199,5.1,7.81
1/24/07,15:00,232,3.5,5.36
1/24/07,16:00,248,6.8,10.41
1/24/07,17:00,254,5.4,8.27
1/24/07,18:00,246,3.5,5.36
1/24/07,19:00,153,7.4,11.33
1/24/07,20:00,86,9.2,14.09
1/24/07,21:00,259,6.1,9.34
1/25/07,15:00,223,3.9,5.97
1/25/07,16:00,138,9.5,14.55
1/25/07,17:00,79,9.5,14.55
1/25/07,18:00,194,6.2,9.5
1/25/07,19:00,183,3.6,5.51
1/25/07,20:00,254,4.8,7.35
1/25/07,21:00,261,3.9,5.97
1/25/07,22:00,245,7.9,12.1
1/25/07,23:00,210,9.5,14.55
26/01/2007,00:00,262,5.8,8.88
1/26/07,01:00,194,2.5,3.83
1/26/07,02:00,99,5.7,8.73
1/26/07,03:00,100,7.3,11.18
1/26/07,04:00,93,6.9,10.57
1/26/07,05:00,88,5.8,8.88
1/26/07,06:00,71,3.6,5.51
1/26/07,07:00,82,4.6,7.05
1/26/07,08:00,89,5.2,7.96
1/26/07,09:00,75,6,9.19
1/26/07,10:00,93,5.9,9.04
1/26/07,11:00,94,4.2,6.43
1/26/07,12:00,93,5,7.66
1/26/07,13:00,109,4.4,6.74
1/26/07,14:00,133,5.5,8.42
1/26/07,15:00,89,5,7.66
1/26/07,16:00,85,7.8,11.95
1/26/07,17:00,131,3.5,5.36
1/26/07,18:00,249,6.4,9.8
1/26/07,19:00,263,7.3,11.18
1/26/07,20:00,267,5.2,7.96
1/26/07,21:00,278,4.9,7.5
1/26/07,22:00,252,5.9,9.04
1/26/07,23:00,255,7.4,11.33
27/01/2007,00:00,272,11.3,17.31
1/27/07,01:00,267,22,33.69
1/27/07,02:00,196,11.8,18.07
1/27/07,03:00,224,14.6,22.36
1/27/07,04:00,177,10.1,15.47
1/27/07,05:00,227,12.2,18.68
1/27/07,06:00,181,14.4,22.05
1/27/07,07:00,128,5.7,8.73
1/27/07,08:00,136,5.3,8.12
1/27/07,09:00,155,5,7.66
1/27/07,10:00,146,6.6,10.11
1/27/07,11:00,128,5,7.66
1/27/07,12:00,182,3.5,5.36
1/27/07,13:00,165,3.2,4.9
1/27/07,14:00,104,3.6,5.51
1/27/07,15:00,130,2.3,3.52
1/27/07,16:00,127,2.3,3.52
1/27/07,17:00,236,4.3,6.59
1/27/07,18:00,283,6.5,9.96
1/27/07,19:00,281,12.8,19.6
